id,year,occup1,woj,nace,technical,math,artistic,computer,cognitive,managerial,interpersonal,individual,physical,availability,office,total_skills
609302,2014,3,02,H,0,0,0,0,0,0,1,0,0,0,0,1
634231,2014,3,30,H,0,0,0,0,0,0,1,0,0,0,0,1
646259,2014,3,02,C,0,0,0,0,1,1,0,0,0,0,0,2
632023,2014,3,24,K,0,0,0,0,1,1,1,0,0,0,0,3
642293,2014,2,24,K,0,0,0,1,0,0,0,0,0,0,0,1
609261,2014,2,14,C,0,0,0,0,0,0,1,1,0,0,1,3
603123,2014,5,12,C,0,0,0,1,1,0,1,1,0,1,0,5
619109,2014,5,30,C,0,0,0,0,0,1,1,1,0,0,0,3
619110,2014,5,30,C,0,0,0,0,0,1,1,1,0,0,0,3
619111,2014,5,30,C,0,0,0,0,0,1,1,1,0,0,0,3
619112,2014,5,30,C,0,0,0,0,0,1,1,1,0,0,0,3
626083,2014,5,14,K,0,0,0,0,0,1,1,1,0,0,0,3
626084,2014,5,20,K,0,0,0,0,0,1,1,1,0,0,0,3
616070,2014,5,14,K,0,0,0,0,0,1,1,1,0,0,0,3
616071,2014,5,20,K,0,0,0,0,0,1,1,1,0,0,0,3
639106,2014,5,16,K,0,0,0,0,0,1,1,1,0,0,0,3
639107,2014,5,16,K,0,0,0,0,0,1,1,1,0,0,0,3
640097,2014,5,24,K,0,0,0,0,0,1,1,1,0,0,0,3
623137,2014,2,30,J,0,0,0,0,0,0,1,1,0,0,0,2
609071,2014,2,12,E,0,0,0,0,0,0,1,0,0,0,0,1
645215,2014,2,30,C,0,0,0,0,1,1,1,1,0,0,0,4
645002,2014,2,14,J,0,0,0,1,0,0,0,0,0,0,0,1
619221,2014,4,24,M,0,0,0,0,0,0,0,1,0,0,0,1
605429,2014,2,24,C,0,0,0,1,1,0,0,1,0,0,0,3
622219,2014,2,30,J,0,0,0,1,0,0,1,1,0,0,0,3
646123,2014,7,12,C,1,0,0,0,0,0,0,0,0,1,0,2
608168,2014,2,12,C,0,0,0,0,0,0,1,1,0,0,0,2
646246,2014,7,24,C,1,0,0,1,0,1,0,1,0,0,0,4
636191,2014,2,14,K,0,0,0,1,0,1,0,1,0,0,0,3
643312,2014,2,30,C,0,0,0,0,1,0,1,0,0,0,0,2
637053,2014,2,30,N,0,0,0,0,1,1,1,0,0,0,0,3
643033,2014,2,30,C,0,0,0,0,1,1,1,1,0,0,0,4
643034,2014,2,30,C,0,0,0,0,1,1,1,1,0,0,0,4
643035,2014,2,30,C,0,0,0,0,1,1,1,1,0,0,0,4
643036,2014,2,30,C,0,0,0,0,1,1,1,1,0,0,0,4
643037,2014,2,30,C,0,0,0,0,1,1,1,1,0,0,0,4
